PC1,PC2,PC3,Time,Amount,Class
0.7052520082689533,1.6383882073636613,-0.3637691655959667,406.0,0.0,1
9.132143380218249,-0.5267903171551408,0.6465699689951674,472.0,529.0,1
2.073403036449637,1.7316697891264354,-1.5368167679495432,4462.0,239.93,1
-9.379991704413346,6.034238913260218,-5.2722805307127585,6986.0,59.0,1
7.462133975918574,0.8828258139598861,-2.2949532714684784,7519.0,1.0,1
-5.074036836592565,5.545408347489876,-5.693794870045997,7526.0,1.0,1
-5.00155326238051,5.588836549670169,-5.660244445862567,7535.0,1.0,1
-1.5595001371161459,4.21435695419905,-4.729747828465019,7543.0,1.0,1
-1.5298037984738748,4.272697761586303,-4.692455419920747,7551.0,1.0,1
-4.382655531057436,4.295896218932671,-3.0308887130700874,7610.0,1.0,1
-4.576570571881312,4.353261371714735,-3.242221811883634,7672.0,1.0,1
-1.0620338724049123,3.0222099784239287,-2.278174770302674,7740.0,1.0,1
-4.7288963921883695,3.8097029564600504,-2.269230594354351,7891.0,1.0,1
-4.824789371698586,3.742599000018499,-2.1785463747420915,8090.0,1.0,1
-2.2373032176367733,4.019444853441314,-3.9714242848344847,8169.0,1.0,1
-7.6167379296981395,6.423036990656207,-6.233729552690152,8408.0,1.0,1
-7.6269437440204015,6.547344575138513,-6.358975693093191,8415.0,1.0,1
-7.167727541253932,5.281190958831873,-3.886676154423177,8451.0,1.0,1
-7.0080460126973065,5.254404244400989,-3.729619960300698,8528.0,1.0,1
-7.4159877453758725,4.67052569134502,-2.823037198972706,8614.0,1.0,1
-7.354286873828251,4.76821098192837,-2.967961841584958,8757.0,1.0,1
-10.273503767269773,5.971337382199464,-5.279219600848287,8808.0,1.1,1
-9.02864833737366,5.199472387140668,-3.9326349817883726,8878.0,1.0,1
-8.990332003548858,5.273483662685099,-3.953303069569163,8886.0,1.0,1
-0.7592531833429899,2.4823461350468623,-1.3520231783405852,9064.0,1809.68,1
-26.88647376147301,13.801465744859764,-11.706350984091253,11080.0,1.0,1
-1.4928724415400065,4.2446042596772955,-4.745997581621611,11092.0,1.0,1
-26.267576030149886,12.508525414122213,-9.076995251298733,11131.0,1.0,1
-27.818782575154952,12.96122621927977,-10.04587905565912,11629.0,1.0,1
-2.2003718607029086,3.991351351532302,-4.024966446535349,11635.0,1.0,1
-10.877573409645084,5.726312062531434,-4.732704685888015,12093.0,0.0,1
-11.407514766178348,5.305933309887298,-3.9084927634686144,12095.0,30.39,1
-0.4398342263961297,0.39777351215916945,-4.448644788471798,12393.0,179.66,1
-28.49301421116021,12.678881088586014,-9.366887600487438,12597.0,1.0,1
-27.602177698378117,11.212768552176293,-6.7120883390660815,13126.0,1.0,1
-29.181256512677546,11.648991157967615,-7.555447382170394,13323.0,1.0,1
-29.85548148400599,11.366646493397115,-6.876450054694352,14073.0,1.0,1
-30.318933908986313,10.923741815138483,-6.0044678271860095,14152.0,1.0,1
-0.5699239856781961,-0.2635016421424953,-3.4748254088101502,15817.0,11.39,1
8.935963886430585,-0.3870267733725139,-0.0156849755871884,17187.0,3.79,1
8.97564224186175,-0.3934619329616744,-0.001562603061479928,17220.0,3.79,1
9.224374594507115,-0.8670193238523807,0.6839398490367997,17230.0,3.93,1
-30.782386036436346,10.480837157688926,-5.132485337521257,17520.0,1.0,1
-29.937551748060134,8.980326732386702,-2.5725932632912674,17838.0,766.36,1
-32.14093783376242,2.2530039070135848,-3.1748178353285823,18088.0,1218.89,1
-34.632192214114525,0.35673660076045755,-4.886983529446465,18399.0,1.0,1
-33.722794039804754,-0.9020045653504853,-2.6555403171264356,18675.0,188.78,1
-35.564873125011914,-0.46161174275230776,-3.1440595992130405,18690.0,1.0,1
-36.15072584941177,-0.7766750395368853,-2.3361257676092366,19762.0,1.0,1
-36.614531395152056,-1.219604414835855,-1.4644546778576102,20011.0,1.0,1
-37.07829964501015,-1.6625311816846455,-0.5927507263815153,20332.0,1.0,1
-37.5420361933684,-2.1054557313507525,0.2789811575603598,20451.0,1.0,1
-38.005745569012475,-2.548378380574625,1.1507369836157897,20931.0,1.0,1
-38.4694314773125,-2.991299388507446,2.0225134869511057,21046.0,1.0,1
-38.93309697922639,-3.4342189692306673,2.894307970529802,21419.0,1.0,1
-39.39674462555237,-3.8771373011455186,3.7661181868214646,21662.0,1.0,1
8.616158249609422,-0.15236748998300198,-0.3773720978871702,25095.0,3.12,1
-32.737635744292604,2.061967443915785,10.482863624802496,25198.0,99.99,1
-33.08325096433457,1.6055405680532369,11.625676412422838,25231.0,99.99,1
-33.578428961549605,1.1480772442198104,12.558130043193364,25254.0,99.99,1
8.79618677235351,-0.11140506823314222,-0.1387751895817153,25426.0,3.76,1
-34.53465307856027,0.25525239062850247,14.363378560660696,26523.0,99.99,1
-35.032411180702795,-0.20976623714849807,15.29486639578567,26556.0,99.99,1
-35.52759007248254,-0.6672296235471649,16.227319238347434,26585.0,99.99,1
-36.022770932437396,-1.1246931475987325,17.15977034673318,26833.0,99.99,1
-36.51795355696302,-1.5821567950632984,18.09221990034034,26863.0,99.99,1
-37.01313776960231,-2.039620553599419,19.02466805464679,26899.0,99.99,1
-37.50832341666688,-2.497084412458344,19.957114945068717,26931.0,99.99,1
-38.00351036367931,-2.954548362234868,20.889560690095283,26961.0,99.99,1
-38.49869849246258,-3.4120123946636185,21.822005393853363,27163.0,99.99,1
-38.993887698742824,-3.8694765024518962,22.75444914821957,27187.0,99.99,1
-39.48907789016303,-4.326940679140224,23.686892034570388,27219.0,99.99,1
-39.98426898462827,-4.784404918986807,24.619334125240435,27252.0,99.99,1
0.3299836372958733,2.8243341314133827,-1.8566243804789495,27784.0,23.36,1
-40.94044718255459,-5.677226561026767,26.424623102410226,28143.0,99.99,1
-0.09677103943864473,2.118991800924573,-0.3428258371658104,28242.0,730.86,1
-41.43821865264927,-6.142246123749849,27.356099158916955,28625.0,99.99,1
-41.93340952756773,-6.599710348241506,28.28854144303156,28658.0,99.99,1
-42.428601162062435,-7.057174625857528,29.22098305787695,28692.0,99.99,1
-42.92379350187798,-7.514638952803218,30.153424051258128,28726.0,99.99,1
-43.41898649780575,-7.972103325636963,31.085864466533046,28755.0,99.99,1
7.5332839961294304,0.9232872887998349,-2.036371720224966,29526.0,0.68,1
7.390260883770758,0.6853738385200521,-1.9183703638479666,29531.0,0.68,1
-1.4181967625636442,4.255546477641621,-4.476943530425362,29753.0,0.68,1
0.035838244858187096,2.243292716573674,-0.5418095140815722,29785.0,30.3,1
9.063494691775865,-1.9492601465341344,-0.7053226339994929,30852.0,104.81,1
0.21549509779498344,2.953908387295832,-2.1752484715212868,32686.0,0.0,1
-0.11052561319432819,2.1734619609094197,-0.29980639926848696,32745.0,717.15,1
2.6897929907228244,2.1776333866907023,-1.711159190258383,34256.0,19.02,1
9.491848877326298,-0.6419837227274483,0.7618861111429682,34521.0,1.52,1
0.007637404158145955,3.1286815943739494,-2.3901885332919717,34634.0,18.96,1
-5.57721005217671,4.094599506928579,-6.293799002567288,34684.0,125.3,1
-12.845309522676885,7.992842542366402,-6.035659437859562,34687.0,19.02,1
8.389304587150235,-3.568500435105585,-1.632265321001683,35585.0,0.76,1
-6.064736041083087,3.6291991855826566,-5.3905736895665735,35771.0,60.6,1
-12.891421963766604,7.210875755114548,-4.635581340764173,35866.0,7.61,1
-13.296066041912542,6.734760827941625,-3.8788654969726615,35899.0,1.0,1
-13.701179380795889,6.302223540531617,-3.097579158357825,35906.0,9.13,1
-14.162637371505014,5.885353041548177,-2.382173668080071,35926.0,4.56,1
-14.496294498707336,5.340190077064664,-1.436806841602505,35942.0,14.46,1
-15.39428398035826,5.2790585917608475,-1.2640333811889513,35953.0,111.7,1
-15.952991604140152,4.84944015793942,-0.38868739235626526,36170.0,111.7,1
-1.0674808796502262,1.6884178065504791,-0.003960478846355642,37167.0,12.31,1
9.044519075822759,-0.49965431877184374,0.7912796294239207,39729.0,776.83,1
8.518514083674035,0.12569834129775947,-0.5420164037624144,40086.0,1.0,1
7.527081045585682,0.8768509656007506,-2.072298340621617,40276.0,1.0,1
-1.7838641872757606,3.938889181139632,-4.214653717868848,40662.0,1.0,1
-2.419256981188486,3.7152577108316196,-3.4590497525337502,40742.0,1.0,1
-27.74038901721619,13.541071793111524,-9.914241859184246,40892.0,0.76,1
-8.278087527284221,4.38139471627903,-5.843558508057252,40918.0,0.76,1
-8.936714492895366,4.065169440973049,-5.062617350743984,40919.0,112.33,1
-27.647663056416594,12.713059789584277,-8.510991762673806,41116.0,3.79,1
-28.331629031845328,12.309106648720002,-7.779298999126237,41138.0,340.11,1
-29.198605235406074,12.139338291753054,-7.488448226253526,41147.0,88.23,1
-29.759552720249506,11.840561812550533,-6.847226130285767,41164.0,5.3,1
-29.65650151267577,10.968136061398955,-5.291308347275212,41170.0,83.38,1
-30.117199450577086,10.494572113870914,-4.668868906467532,41181.0,11.38,1
-30.552001631432542,10.100373895993727,-3.8921737430171603,41194.0,1.52,1
-31.417511800579252,9.955379352521177,-3.506071183936827,41203.0,88.23,1
-32.03464874840992,9.662395324219586,-2.8609665210108606,41204.0,30.26,1
-32.37646410526436,9.05945122284859,-1.6794208397164556,41227.0,459.07,1
-33.02278812176732,8.699160901332059,-1.3168391419677519,41233.0,0.0,1
-33.559701696675674,8.340941185038442,-0.3570529899906578,41237.0,118.3,1
-34.03398688121996,7.870588146263728,0.6361110797655424,41243.0,45.49,1
-33.86699527598657,6.980760499027388,2.0300401016923493,41273.0,173.07,1
-34.58320771598585,6.727427428021528,2.3275867408662227,41285.0,37.32,1
-34.828321443492,6.137235661870388,3.4498357291018005,41305.0,59.68,1
-35.26952299860861,5.6951766263179415,4.155135573030898,41308.0,0.76,1
-35.453127088828595,5.035004695544053,5.420981706792885,41313.0,9.99,1
-36.59250964705804,5.118506604391607,5.628001956001767,41353.0,34.12,1
-37.175071598466886,4.762112617426445,6.262369710507211,41397.0,273.01,1
-37.18976225753154,3.9722175845298757,7.416003731419934,41413.0,106.55,1
-38.762813250415306,0.9564883339045696,6.845923149735801,41505.0,364.19,1
0.5031414434702448,2.8966263934720677,-2.133343052834449,41582.0,39.45,1
